INDEX,rubro,articulo,cantidad,final,costo,neto,margen,IVA,ganancia
178,almacen,biscochitos DADITOS cebolla.,2.0,200,129.03225806451613,165.28925619834712,55,0.21,71.0
179,almacen,bombilla mensú,6.0,1440,929.0322580645161,1190.0826446280992,55,0.21,511.0
180,almacen,Bombilla Resorte Mensú,5.0,1400,903.2258064516129,1157.0247933884298,55,0.21,497.0
181,almacen,budin fantoche con frutas,4.0,1060,683.8709677419355,876.0330578512397,55,0.21,376.0
182,almacen,budin fantoche con pepas de chocolate,7.0,1780,1148.3870967741934,1471.0743801652893,55,0.21,632.0
183,almacen,budin fantoche marmolado,4.0,1570,1012.9032258064516,1297.5206611570247,55,0.21,557.0
184,almacen,budin fantoche sin fruta,7.0,1640,1058.0645161290322,1355.3719008264463,55,0.21,582.0
185,almacen,budin lheritier con frutas,2.0,880,567.741935483871,727.2727272727273,55,0.21,312.0
186,almacen,budin lheritier con pepas de choco 200g,1.0,440,283.8709677419355,363.6363636363636,55,0.21,156.0
187,almacen,budin lheritier vainilla 200g,5.0,2200,1419.3548387096773,1818.1818181818182,55,0.21,781.0
188,almacen,budin valenciano con frutas170g,7.0,700,451.61290322580646,578.5123966942149,55,0.21,248.0
189,almacen,CABALLA en ACEITE puglisi  380g,3.0,840,541.9354838709677,694.2148760330579,55,0.21,298.0
190,almacen,Cafe Dolca  Suave50g,1.0,190,122.58064516129032,157.02479338842977,55,0.21,67.0
191,almacen,cafe en saquito la virginia x 5grs,259.0,7070,4561.290322580645,5842.975206611571,55,0.21,2509.0
192,almacen,cafe instantaneo en sobres la virginia,106.0,2250,1451.6129032258063,1859.504132231405,55,0.21,798.0
193,almacen,cafe instantaneo la virginia,2.0,30,19.35483870967742,24.793388429752067,55,0.21,11.0
194,almacen,Cafe Instantaneo la virginia 100 grs,25.0,14670,9464.516129032258,12123.966942148762,55,0.21,5205.0
195,almacen,Cafe Instantaneo La Virginia 50 g,26.0,8100,5225.806451612903,6694.214876033058,55,0.21,2874.0
196,almacen,Cafe La virginia 250 g,3.0,1260,812.9032258064516,1041.3223140495868,55,0.21,447.0
197,almacen,Cafe La virginia molido 250 g,19.0,10980,7083.870967741936,9074.380165289256,55,0.21,3896.0
