,fecha,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
117,2023-04-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,13.0,19.0,19.0,3.0,1.0,68.0
118,2023-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,18.0,10.0,10.0,4.0,0.0,65.0
119,2023-05-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,9.0,12.0,10.0,9.0,8.0,5.0,7.0,6.0,13.0,7.0,6.0,3.0,0.0,109.0
120,2023-05-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,11.0,12.0,15.0,10.0,13.0,7.0,13.0,18.0,7.0,5.0,4.0,2.0,0.0,131.0
121,2023-05-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,17.0,12.0,8.0,4.0,9.0,14.0,15.0,14.0,15.0,22.0,12.0,10.0,2.0,171.0
122,2023-05-05,2,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,6.0,7.0,6.0,7.0,17.0,11.0,3.0,7.0,8.0,5.0,7.0,9.0,12.0,12.0,4.0,138.0
123,2023-05-06,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,9.0,12.0,9.0,10.0,13.0,13.0,15.0,13.0,10.0,10.0,12.0,12.0,7.0,155.0
124,2023-05-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,16.0,19.0,8.0,8.0,0.0,77.0
125,2023-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.0,12.0,11.0,10.0,5.0,15.0,11.0,19.0,11.0,8.0,6.0,4.0,0.0,137.0
126,2023-05-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,2.0,13.0,13.0,11.0,5.0,15.0,7.0,16.0,6.0,17.0,18.0,14.0,7.0,0.0,161.0
127,2023-05-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,6.0,10.0,12.0,11.0,10.0,12.0,9.0,14.0,10.0,8.0,10.0,9.0,2.0,0.0,137.0
